fk_x_invoice_hub_id,created_at,fk_x_currency_ref_cd,due_amt,total_amt,subtotal_amt,fee_amt,paid_ind,closed_ind,forgiven_ind,attempt_cnt,x_receipt_id,next_attempt_at,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_hub_id_raw
11E7137A5289A662A211020AF2129A61,"2017-03-27 22:49:35.563",USD,27258,27258,27258,0,1,1,0,1,2044-1066,NULL,NULL,NULL,NULL,11E7137A52E20739BCDA06616AC582AF,B2FCEFF45B0FA8695E3D897BC96A082A,...
11E7137A54880E9DA211020AF2129A61,"2017-03-27 22:49:38.868",USD,16180,16180,16180,0,1,1,0,1,2003-9753,NULL,NULL,NULL,NULL,11E7137A54DA5AB2BCDA06616AC582AF,8E8C09E26C476D784108F5FADF543118,...
11E7137A5980556FA211020AF2129A61,"2017-03-27 22:49:47.586",USD,32591,32591,32591,0,1,1,0,1,2870-0652,NULL,NULL,NULL,NULL,11E7137A5A0C9107BCDA06616AC582AF,47E9069579716A9AFB4ECBE7D91605F9,...
11E7137A5C6B676EA211020AF2129A61,"2017-03-27 22:49:52.294",USD,24453,24453,24453,0,1,1,0,1,2791-6605,NULL,NULL,NULL,NULL,11E7137A5CDB0706BCDA06616AC582AF,E390DA96B9C95AE84646F8001B357C02,...
11E7137A617FC2BFA211020AF2129A61,"2017-03-27 22:50:00.649",USD,15270,15270,15270,0,1,1,0,1,2029-6739,NULL,NULL,NULL,NULL,11E7137A61D5C498BCDA06616AC582AF,1DF12F4A699959BB5F3A231FFE1C2DE0,...
11E7137A63B0D2F0A211020AF2129A61,"2017-03-27 22:50:04.450",USD,32418,32418,32418,0,1,1,0,1,2064-0587,NULL,NULL,NULL,NULL,11E7137A6419E2EBBCDA06616AC582AF,3CE77E2888C2BC55463DF2BBB228D41E,...
11E7137A67D96E7DA211020AF2129A61,"2017-03-27 22:50:11.189",USD,12928,12928,12928,0,1,1,0,1,2607-7199,NULL,NULL,NULL,NULL,11E7137A681E145DBCDA06616AC582AF,A3EF5F0A1DC8AE2ED52CB6070447AC34,...
11E7137A69183057A211020AF2129A61,"2017-03-27 22:50:13.178",USD,15437,15437,15437,0,1,1,0,1,2275-9434,NULL,NULL,NULL,NULL,11E7137A694D93BDBCDA06616AC582AF,01321C25A0B9B8281222620E8E164A38,...
11E7137A6C078746A211020AF2129A61,"2017-03-27 22:50:17.830",USD,2457,2457,2457,0,1,1,0,1,2141-0006,NULL,NULL,NULL,NULL,11E7137A6C13773DBCDA06616AC582AF,B6D26ACE6454A5375A7201552E8C1663,...
11E7137A6C354E45A211020AF2129A61,"2017-03-27 22:50:18.106",USD,1036,1036,1036,0,1,1,0,1,2479-2513,NULL,NULL,NULL,NULL,11E7137A6C3D8A8CBCDA06616AC582AF,3A5865AEAC87DB71E05FE1D8BA4128BC,...
11E7137A6EEA0E21A211020AF2129A61,"2017-03-27 22:50:23.369",USD,22700,22700,22700,0,1,1,0,1,2256-7756,NULL,NULL,NULL,NULL,11E7137A6F60ADEABCDA06616AC582AF,B28D695B63EC5E4189393D90D6D2371B,...
