fk_r_billing_engine_ref_cd,x_invoice_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_hub_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,in_17MTdqHiCtHGC78FovpyLFpq,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:35.785","2017-03-27 22:36:35.813","2015-12-26 17:48:14",NULL,NULL
STRIPE,in_17Mq7YHiCtHGC78F1Hg2Xj3e,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:37.537","2017-03-27 22:36:37.592","2015-12-27 17:48:24",NULL,NULL
STRIPE,in_17Mq7xHiCtHGC78FmDX97OsM,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:39.389","2017-03-27 22:36:39.444","2015-12-27 17:48:49",NULL,NULL
STRIPE,in_17NCaoHiCtHGC78FlxevmGK7,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:41.118","2017-03-27 22:36:41.174","2015-12-28 17:48:06",NULL,NULL
STRIPE,in_17NZ4lHiCtHGC78FY9xSKKkl,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:43.979","2017-03-27 22:36:44.468","2015-12-29 17:48:31",NULL,NULL
STRIPE,in_17NZ5ZHiCtHGC78FUPvQ0g8A,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:49.374","2017-03-27 22:36:49.651","2015-12-29 17:49:21",NULL,NULL
STRIPE,in_17NvYCHiCtHGC78FTmCYLGzq,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:53.239","2017-03-27 22:36:53.812","2015-12-30 17:48:24",NULL,NULL
STRIPE,in_17NvZQHiCtHGC78FApSsIqC0,...,SHIPPING,...,NULL,...,"2017-03-27 22:36:59.717","2017-03-27 22:37:00.122","2015-12-30 17:49:40",NULL,NULL
STRIPE,in_17OI28HiCtHGC78F3XBOKvsL,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:06.712","2017-03-27 22:37:07.051","2015-12-31 17:48:48",NULL,NULL
STRIPE,in_17OI2cHiCtHGC78FXezpBuRm,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:09.319","2017-03-27 22:37:09.667","2015-12-31 17:49:18",NULL,NULL
STRIPE,in_17OeVHHiCtHGC78F4R6HBOO3,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:19.094","2017-03-27 22:37:19.335","2016-01-01 17:48:23",NULL,NULL
STRIPE,in_17OeVmHiCtHGC78FyowrqYBz,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:21.326","2017-03-27 22:37:21.727","2016-01-01 17:48:54",NULL,NULL
STRIPE,in_17P0yNHiCtHGC78F4rok5ADZ,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:24.771","2017-03-27 22:37:24.872","2016-01-02 17:47:55",NULL,NULL
STRIPE,in_17P0yVHiCtHGC78F5hOayU5V,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:25.179","2017-03-27 22:37:25.229","2016-01-02 17:48:03",NULL,NULL
STRIPE,in_17PNS3HiCtHGC78FBTury53g,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:27.106","2017-03-27 22:37:27.371","2016-01-03 17:48:03",NULL,NULL
STRIPE,in_17PNSXHiCtHGC78FJRo8OBUc,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:29.026","2017-03-27 22:37:29.081","2016-01-03 17:48:33",NULL,NULL
STRIPE,in_17PjvZHiCtHGC78FCQdRxqrg,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:31.030","2017-03-27 22:37:31.136","2016-01-04 17:48:01",NULL,NULL
STRIPE,in_17PjvjHiCtHGC78FEYh6a9lo,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:31.535","2017-03-27 22:37:31.563","2016-01-04 17:48:11",NULL,NULL
STRIPE,in_17Q6P7HiCtHGC78FZY987NWQ,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:32.825","2017-03-27 22:37:33.195","2016-01-05 17:48:01",NULL,NULL
STRIPE,in_17Q6Q4HiCtHGC78FPQGGcNIl,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:37.300","2017-03-27 22:37:37.718","2016-01-05 17:49:00",NULL,NULL
STRIPE,in_17QSshHiCtHGC78Fzf3X9s01,...,SHIPPING,...,NULL,...,"2017-03-27 22:37:41.117","2017-03-27 22:37:41.482","2016-01-06 17:48:03",NULL,NULL
