fk_x_invoice_item_hub_id,created_at,fk_s_change_context_id,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,row_hash
...,"2017-03-27 22:52:31.980",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058141689",...
...,"2017-03-27 22:52:31.998",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058066838",...
...,"2017-03-27 22:52:32.017",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700056566668",...
...,"2017-03-27 22:52:32.035",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058182828",...
...,"2017-03-27 22:52:32.053",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057184793",...
...,"2017-03-27 22:52:32.072",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057408493",...
...,"2017-03-27 22:52:32.090",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057420709",...
...,"2017-03-27 22:52:32.108",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057416191",...
...,"2017-03-27 22:52:32.127",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057500418",...
...,"2017-03-27 22:52:32.145",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057610957",...
...,"2017-03-27 22:52:32.163",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057654210",...
...,"2017-03-27 22:52:32.181",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057707053",...
...,"2017-03-27 22:52:32.199",...,USD,704,1,0,NULL,NULL,"USPS label: 9400110897700057692052",...
...,"2017-03-27 22:52:32.218",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057751865",...
...,"2017-03-27 22:52:32.236",...,USD,1310,1,0,NULL,NULL,"USPS label: 9405510200828003006005",...
...,"2017-03-27 22:52:32.255",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057819923",...
...,"2017-03-27 22:52:32.274",...,USD,781,1,0,NULL,NULL,"USPS label: 9405510200830138822726",...
...,"2017-03-27 22:52:32.292",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200828005208049",...
...,"2017-03-27 22:52:32.311",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057947916",...
...,"2017-03-27 22:52:32.329",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058106213",...
...,"2017-03-27 22:52:32.347",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700058067125",...
...,"2017-03-27 22:52:32.365",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058117035",...
...,"2017-03-27 22:52:32.383",...,USD,420,1,0,NULL,NULL,"USPS label: 9400110897700058127737",...
...,"2017-03-27 22:52:32.402",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058150353",...
...,"2017-03-27 22:52:32.420",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058144161",...
...,"2017-03-27 22:52:32.440",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058198478",...
...,"2017-03-27 22:52:32.458",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058184976",...
...,"2017-03-27 22:52:32.476",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058212679",...
...,"2017-03-27 22:52:32.495",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058200249",...
...,"2017-03-27 22:52:32.513",...,USD,1135,1,0,NULL,NULL,"USPS label: 9405510200828006740517",...
...,"2017-03-27 22:52:32.531",...,USD,426,1,0,NULL,NULL,"USPS label: 9400110897700058223040",...
...,"2017-03-27 22:52:32.553",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058224535",...
...,"2017-03-27 22:52:42.542",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883020421743",...
...,"2017-03-27 22:52:42.561",...,USD,432,1,0,NULL,NULL,"USPS label: 9400110897700057947305",...
...,"2017-03-27 22:52:42.579",...,USD,1683,1,0,NULL,NULL,"USPS label: 9405510200881002365641",...
...,"2017-03-27 22:52:42.598",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058049923",...
...,"2017-03-27 22:52:42.616",...,USD,432,1,0,NULL,NULL,"USPS label: 9400110897700057959087",...
...,"2017-03-27 22:52:42.635",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200829006005231",...
...,"2017-03-27 22:52:42.653",...,USD,1988,1,0,NULL,NULL,"USPS label: 9405510200883046456514",...
...,"2017-03-27 22:52:42.671",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883047268987",...
...,"2017-03-27 22:52:42.690",...,USD,834,1,0,NULL,NULL,"USPS label: 9405510200883014312156",...
...,"2017-03-27 22:52:42.708",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883047395010",...
...,"2017-03-27 22:52:42.726",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883045441832",...
...,"2017-03-27 22:52:42.745",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057432283",...
...,"2017-03-27 22:52:42.765",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700058292060",...
...,"2017-03-27 22:52:42.783",...,USD,1252,1,0,NULL,NULL,"USPS label: 9405510200883045747132",...
...,"2017-03-27 22:52:43.279",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700056146266",...
...,"2017-03-27 22:52:43.717",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700056513877",...
...,"2017-03-27 22:52:43.736",...,USD,408,1,0,NULL,NULL,"USPS label: 9400110897700057031738",...
...,"2017-03-27 22:52:43.755",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700056707306",...
...,"2017-03-27 22:52:43.773",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057348188",...
...,"2017-03-27 22:52:43.794",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057528757",...
...,"2017-03-27 22:52:43.815",...,USD,414,1,0,NULL,NULL,"USPS label: 9400110897700057433945",...
...,"2017-03-27 22:52:43.839",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057686204",...
...,"2017-03-27 22:52:43.860",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700057840293",...
...,"2017-03-27 22:52:43.879",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700057828307",...
...,"2017-03-27 22:52:43.897",...,USD,294,1,0,NULL,NULL,"USPS label: 9400110897700058068504",...
...,"2017-03-27 22:52:43.916",...,USD,396,1,0,NULL,NULL,"USPS label: 9400110897700057980180",...
...,"2017-03-27 22:52:43.934",...,USD,312,1,0,NULL,NULL,"USPS label: 9400110897700058229424",...
