fk_r_billing_engine_ref_cd,x_invoice_item_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,ii_16wjfPHiCtHGC78FkezRVkpw,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.585","2017-03-27 22:31:37.587","2015-10-16 18:39:27",NULL,NULL
STRIPE,ii_16wjfPHiCtHGC78Fb39GkVm1,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.605","2017-03-27 22:31:37.607","2015-10-16 18:39:27",NULL,NULL
STRIPE,ii_16wjfQHiCtHGC78Fq01RLygz,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.624","2017-03-27 22:31:37.626","2015-10-16 18:39:28",NULL,NULL
STRIPE,ii_16wjfQHiCtHGC78FmeK2SF6q,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.642","2017-03-27 22:31:37.644","2015-10-16 18:39:28",NULL,NULL
STRIPE,ii_16wjfQHiCtHGC78FHmZMDKdd,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.661","2017-03-27 22:31:37.663","2015-10-16 18:39:28",NULL,NULL
STRIPE,ii_16wjfQHiCtHGC78Fm3s3bTBr,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.679","2017-03-27 22:31:37.681","2015-10-16 18:39:28",NULL,NULL
STRIPE,ii_16wjfRHiCtHGC78FBvjFdHTP,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:37.702","2017-03-27 22:31:37.704","2015-10-16 18:39:29",NULL,NULL
STRIPE,ii_16x68oHiCtHGC78FdINKDzk6,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:40.810","2017-03-27 22:31:40.813","2015-10-17 18:39:18",NULL,NULL
STRIPE,ii_16x68oHiCtHGC78FdD89Iyjg,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:40.829","2017-03-27 22:31:40.831","2015-10-17 18:39:18",NULL,NULL
STRIPE,ii_16x68pHiCtHGC78FKVEqkS5B,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:40.898","2017-03-27 22:31:40.901","2015-10-17 18:39:19",NULL,NULL
STRIPE,ii_16x68pHiCtHGC78FqeOxnuRD,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:40.917","2017-03-27 22:31:40.920","2015-10-17 18:39:19",NULL,NULL
STRIPE,ii_16x68pHiCtHGC78F4OeaAuJP,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:40.937","2017-03-27 22:31:40.939","2015-10-17 18:39:19",NULL,NULL
STRIPE,ii_16x68pHiCtHGC78FcgIKqYNo,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:40.955","2017-03-27 22:31:40.958","2015-10-17 18:39:19",NULL,NULL
